Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format
Fujifilm,Fujinon XF 10-24mm f/4 R OIS,2014,999,410,87,78,4,10-24,1,1,0,APS-C
Fujifilm,Fujinon XF 16-55mm f/2.8 R LM WR,2015,1199,655,106,83.3,2.8,16-55,1,0,0,APS-C
Fujifilm,Fujinon XF 18-55mm f/2.8-4 R LM OIS,2012,699,310,70.4,65,2.8,18-55,1,1,0,APS-C
Fujifilm,Fujinon XF 18-135mm f/3.5-5.6 R LM  OIS WR,2014,899,490,97.8,75.7,3.5,18-135,1,1,0,APS-C
Fujifilm,Fujinon XF 50-140mm f/2.8 R LM OIS WR,2015,1599,995,175.9,82.9,2.8,50-140,1,1,0,APS-C
Fujifilm,Fujinon XF 55-200mm f/3.5-4.8 R LM OIS,2014,699,580,118,75,3.5,55-200,1,1,0,APS-C
Fujifilm,Fujinon XF 100-400mm f/4.5-5.6 R LM OIS WR,2016,1899,1375,210.5,94.8,4.5,100-400,1,1,0,APS-C
Fujifilm,Fujinon XC 16-50mm f/3.5-5.6 OIS II,2015,399,195,65.2,62.6,3.5,16-50,1,1,0,APS-C
Fujifilm,Fujinon XC 50-230mm f/4.5-6.7 OIS II,2015,399,,111,69.5,4.5,50-230,1,1,0,APS-C
Handevision,Ibelux 40mm f/0.85 ,2014,1899,1200,128.016,73.914,0.85,40,0,0,0,Micro Four Thirds
Irix,Firefly 15mm f/2.4,2016,517,608,100,114,2.4,15,0,0,0,Full-Frame
Irix,Blackstone 15mm f/2.4,2015,757,685,100,114,2.4,15,0,0,0,Full-Frame
Leica,18mm f/3.8 Super-Elmar-M Aspherical,2009,2860,310,58,61,3.8,18,0,0,0,Full-Frame
Leica,21mm f/3.4 Super-Elmar-M Aspherical,2011,2635.6,279,43,53,3.4,21,0,0,0,Full-Frame
Leica,21mm f/1.4 Summilux-M Aspherical,2008,6732,580,66,70,1.4,21,0,0,0,Full-Frame
